Hashing Power - 0.01818181818181818
Speed - Low

**Blocks in the Blockchain**
Block ID:1,Previous Block ID:0,Miner ID: None,Number of TXNs:0,Time:0
Block ID:3,Previous Block ID:1,Miner ID:6,Number of TXNs:2,Time:1889.9858660967193
Block ID:9,Previous Block ID:3,Miner ID:8,Number of TXNs:1,Time:5674.432683633721
Block ID:16,Previous Block ID:9,Miner ID:8,Number of TXNs:1,Time:7652.146614286527
Block ID:22,Previous Block ID:16,Miner ID:8,Number of TXNs:1,Time:11517.734427688334
Block ID:25,Previous Block ID:22,Miner ID:6,Number of TXNs:1,Time:12879.497275479023
Block ID:27,Previous Block ID:25,Miner ID:6,Number of TXNs:1,Time:14118.289424837296
Block ID:30,Previous Block ID:27,Miner ID:7,Number of TXNs:1,Time:15096.024964476017
Block ID:31,Previous Block ID:30,Miner ID:7,Number of TXNs:1,Time:17223.62223587732
Block ID:35,Previous Block ID:31,Miner ID:8,Number of TXNs:1,Time:21054.339421940487
Block ID:37,Previous Block ID:35,Miner ID:7,Number of TXNs:1,Time:22401.15373274637
Block ID:42,Previous Block ID:37,Miner ID:6,Number of TXNs:1,Time:25976.956730248097
Block ID:47,Previous Block ID:42,Miner ID:9,Number of TXNs:1,Time:28023.77553132204
Block ID:49,Previous Block ID:47,Miner ID:7,Number of TXNs:1,Time:29218.348069985906
Block ID:51,Previous Block ID:49,Miner ID:9,Number of TXNs:1,Time:30915.94868732707
Block ID:57,Previous Block ID:51,Miner ID:6,Number of TXNs:1,Time:32871.043073881054
Block ID:61,Previous Block ID:57,Miner ID:9,Number of TXNs:1,Time:35407.00203983992
Block ID:66,Previous Block ID:61,Miner ID:6,Number of TXNs:1,Time:37282.8211361182
Block ID:68,Previous Block ID:66,Miner ID:8,Number of TXNs:1,Time:39889.647018236894
Block ID:69,Previous Block ID:68,Miner ID:7,Number of TXNs:1,Time:41110.19769783637
Block ID:71,Previous Block ID:69,Miner ID:6,Number of TXNs:1,Time:42411.46915382437
Block ID:74,Previous Block ID:71,Miner ID:5,Number of TXNs:1,Time:44216.84940256912
Block ID:79,Previous Block ID:74,Miner ID:5,Number of TXNs:1,Time:45216.44732976464
Block ID:80,Previous Block ID:74,Miner ID:7,Number of TXNs:1,Time:45267.806276780466
Block ID:81,Previous Block ID:74,Miner ID:9,Number of TXNs:1,Time:45293.55396642385
Block ID:84,Previous Block ID:80,Miner ID:7,Number of TXNs:1,Time:46191.39606642439
Block ID:89,Previous Block ID:84,Miner ID:9,Number of TXNs:1,Time:48076.453303015565
Block ID:91,Previous Block ID:89,Miner ID:9,Number of TXNs:1,Time:49396.35720089244
Block ID:93,Previous Block ID:91,Miner ID:9,Number of TXNs:1,Time:50317.80536969071

**Blocks in the Longest Chain**
Block ID:93,Previous Block ID:91,Miner ID:9,Number of TXNs:1,Time:50317.80536969071
Block ID:91,Previous Block ID:89,Miner ID:9,Number of TXNs:1,Time:49396.35720089244
Block ID:89,Previous Block ID:84,Miner ID:9,Number of TXNs:1,Time:48076.453303015565
Block ID:84,Previous Block ID:80,Miner ID:7,Number of TXNs:1,Time:46191.39606642439
Block ID:80,Previous Block ID:74,Miner ID:7,Number of TXNs:1,Time:45267.806276780466
Block ID:74,Previous Block ID:71,Miner ID:5,Number of TXNs:1,Time:44216.84940256912
Block ID:71,Previous Block ID:69,Miner ID:6,Number of TXNs:1,Time:42411.46915382437
Block ID:69,Previous Block ID:68,Miner ID:7,Number of TXNs:1,Time:41110.19769783637
Block ID:68,Previous Block ID:66,Miner ID:8,Number of TXNs:1,Time:39889.647018236894
Block ID:66,Previous Block ID:61,Miner ID:6,Number of TXNs:1,Time:37282.8211361182
Block ID:61,Previous Block ID:57,Miner ID:9,Number of TXNs:1,Time:35407.00203983992
Block ID:57,Previous Block ID:51,Miner ID:6,Number of TXNs:1,Time:32871.043073881054
Block ID:51,Previous Block ID:49,Miner ID:9,Number of TXNs:1,Time:30915.94868732707
Block ID:49,Previous Block ID:47,Miner ID:7,Number of TXNs:1,Time:29218.348069985906
Block ID:47,Previous Block ID:42,Miner ID:9,Number of TXNs:1,Time:28023.77553132204
Block ID:42,Previous Block ID:37,Miner ID:6,Number of TXNs:1,Time:25976.956730248097
Block ID:37,Previous Block ID:35,Miner ID:7,Number of TXNs:1,Time:22401.15373274637
Block ID:35,Previous Block ID:31,Miner ID:8,Number of TXNs:1,Time:21054.339421940487
Block ID:31,Previous Block ID:30,Miner ID:7,Number of TXNs:1,Time:17223.62223587732
Block ID:30,Previous Block ID:27,Miner ID:7,Number of TXNs:1,Time:15096.024964476017
Block ID:27,Previous Block ID:25,Miner ID:6,Number of TXNs:1,Time:14118.289424837296
Block ID:25,Previous Block ID:22,Miner ID:6,Number of TXNs:1,Time:12879.497275479023
Block ID:22,Previous Block ID:16,Miner ID:8,Number of TXNs:1,Time:11517.734427688334
Block ID:16,Previous Block ID:9,Miner ID:8,Number of TXNs:1,Time:7652.146614286527
Block ID:9,Previous Block ID:3,Miner ID:8,Number of TXNs:1,Time:5674.432683633721
Block ID:3,Previous Block ID:1,Miner ID:6,Number of TXNs:2,Time:1889.9858660967193

Blocks Mined - 3
Blocks Mined in the Longest Chain - 0
