Hashing Power - 0.18181818181818182
Speed - High

**Blocks in the Blockchain**
Block ID:1,Previous Block ID:0,Miner ID: None,Number of TXNs:0,Time:0
Block ID:3,Previous Block ID:1,Miner ID:6,Number of TXNs:2,Time:1817.301185693457
Block ID:9,Previous Block ID:3,Miner ID:8,Number of TXNs:1,Time:5496.000865495656
Block ID:16,Previous Block ID:9,Miner ID:8,Number of TXNs:1,Time:7433.8069062960985
Block ID:22,Previous Block ID:16,Miner ID:8,Number of TXNs:1,Time:11341.171961237947
Block ID:25,Previous Block ID:22,Miner ID:6,Number of TXNs:1,Time:12835.901538175396
Block ID:27,Previous Block ID:25,Miner ID:6,Number of TXNs:1,Time:14064.257066725124
Block ID:30,Previous Block ID:27,Miner ID:7,Number of TXNs:1,Time:14878.439915630417
Block ID:31,Previous Block ID:30,Miner ID:7,Number of TXNs:1,Time:17038.27903861867
Block ID:35,Previous Block ID:31,Miner ID:8,Number of TXNs:1,Time:20855.678071564733
Block ID:37,Previous Block ID:35,Miner ID:7,Number of TXNs:1,Time:22153.358900082145
Block ID:42,Previous Block ID:37,Miner ID:6,Number of TXNs:1,Time:25916.247541946315
Block ID:47,Previous Block ID:42,Miner ID:9,Number of TXNs:1,Time:27789.905986219146
Block ID:49,Previous Block ID:47,Miner ID:7,Number of TXNs:1,Time:28966.448390722795
Block ID:51,Previous Block ID:49,Miner ID:9,Number of TXNs:1,Time:30723.556313110825
Block ID:57,Previous Block ID:51,Miner ID:6,Number of TXNs:1,Time:32823.15366425066
Block ID:61,Previous Block ID:57,Miner ID:9,Number of TXNs:1,Time:35200.88277593404
Block ID:66,Previous Block ID:61,Miner ID:6,Number of TXNs:1,Time:37225.860504272096
Block ID:68,Previous Block ID:66,Miner ID:8,Number of TXNs:1,Time:39712.39934244203
Block ID:69,Previous Block ID:68,Miner ID:7,Number of TXNs:1,Time:40883.277527891376
Block ID:71,Previous Block ID:69,Miner ID:6,Number of TXNs:1,Time:42346.57375212254
Block ID:74,Previous Block ID:71,Miner ID:5,Number of TXNs:1,Time:44051.778115887595
Block ID:80,Previous Block ID:74,Miner ID:7,Number of TXNs:1,Time:45024.169563550575
Block ID:81,Previous Block ID:74,Miner ID:9,Number of TXNs:1,Time:45074.178255141334
Block ID:79,Previous Block ID:74,Miner ID:5,Number of TXNs:1,Time:45094.585606029235
Block ID:84,Previous Block ID:80,Miner ID:7,Number of TXNs:1,Time:45978.69364118181
Block ID:89,Previous Block ID:84,Miner ID:9,Number of TXNs:1,Time:47863.1544260633
Block ID:91,Previous Block ID:89,Miner ID:9,Number of TXNs:1,Time:49146.57066154005
Block ID:93,Previous Block ID:91,Miner ID:9,Number of TXNs:1,Time:50123.39455784961

**Blocks in the Longest Chain**
Block ID:93,Previous Block ID:91,Miner ID:9,Number of TXNs:1,Time:50123.39455784961
Block ID:91,Previous Block ID:89,Miner ID:9,Number of TXNs:1,Time:49146.57066154005
Block ID:89,Previous Block ID:84,Miner ID:9,Number of TXNs:1,Time:47863.1544260633
Block ID:84,Previous Block ID:80,Miner ID:7,Number of TXNs:1,Time:45978.69364118181
Block ID:80,Previous Block ID:74,Miner ID:7,Number of TXNs:1,Time:45024.169563550575
Block ID:74,Previous Block ID:71,Miner ID:5,Number of TXNs:1,Time:44051.778115887595
Block ID:71,Previous Block ID:69,Miner ID:6,Number of TXNs:1,Time:42346.57375212254
Block ID:69,Previous Block ID:68,Miner ID:7,Number of TXNs:1,Time:40883.277527891376
Block ID:68,Previous Block ID:66,Miner ID:8,Number of TXNs:1,Time:39712.39934244203
Block ID:66,Previous Block ID:61,Miner ID:6,Number of TXNs:1,Time:37225.860504272096
Block ID:61,Previous Block ID:57,Miner ID:9,Number of TXNs:1,Time:35200.88277593404
Block ID:57,Previous Block ID:51,Miner ID:6,Number of TXNs:1,Time:32823.15366425066
Block ID:51,Previous Block ID:49,Miner ID:9,Number of TXNs:1,Time:30723.556313110825
Block ID:49,Previous Block ID:47,Miner ID:7,Number of TXNs:1,Time:28966.448390722795
Block ID:47,Previous Block ID:42,Miner ID:9,Number of TXNs:1,Time:27789.905986219146
Block ID:42,Previous Block ID:37,Miner ID:6,Number of TXNs:1,Time:25916.247541946315
Block ID:37,Previous Block ID:35,Miner ID:7,Number of TXNs:1,Time:22153.358900082145
Block ID:35,Previous Block ID:31,Miner ID:8,Number of TXNs:1,Time:20855.678071564733
Block ID:31,Previous Block ID:30,Miner ID:7,Number of TXNs:1,Time:17038.27903861867
Block ID:30,Previous Block ID:27,Miner ID:7,Number of TXNs:1,Time:14878.439915630417
Block ID:27,Previous Block ID:25,Miner ID:6,Number of TXNs:1,Time:14064.257066725124
Block ID:25,Previous Block ID:22,Miner ID:6,Number of TXNs:1,Time:12835.901538175396
Block ID:22,Previous Block ID:16,Miner ID:8,Number of TXNs:1,Time:11341.171961237947
Block ID:16,Previous Block ID:9,Miner ID:8,Number of TXNs:1,Time:7433.8069062960985
Block ID:9,Previous Block ID:3,Miner ID:8,Number of TXNs:1,Time:5496.000865495656
Block ID:3,Previous Block ID:1,Miner ID:6,Number of TXNs:2,Time:1817.301185693457

Blocks Mined - 19
Blocks Mined in the Longest Chain - 7
